event-id,visible,timestamp,location-long,location-lat,comments,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
27197564488,true,2004-05-14 00:00:00.000,14.565,2.362,"B","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564489,true,2004-05-15 00:00:00.000,14.604,2.358,"A","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564490,true,2004-05-15 00:00:00.000,14.589,2.363,"B","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564491,true,2004-05-16 00:00:00.000,14.573,2.38,"1","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564492,true,2004-05-16 00:00:00.000,14.612,2.395,"B","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564493,true,2004-05-17 00:00:00.000,14.652,2.388,"3","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564494,true,2004-05-17 00:00:00.000,14.651,2.385,"A","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564495,true,2004-05-18 00:00:00.000,14.633,2.374,"B","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564496,true,2004-05-19 00:00:00.000,14.62,2.387,"B","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564497,true,2004-05-19 00:00:00.000,14.636,2.405,"B","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564498,true,2004-05-20 00:00:00.000,14.692,2.392,"B","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564499,true,2004-05-21 00:00:00.000,14.671,2.381,"1","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564500,true,2004-05-22 00:00:00.000,14.612,2.379,"B","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564501,true,2004-05-23 00:00:00.000,14.548,2.4,"B","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564502,true,2004-05-24 00:00:00.000,14.601,2.383,"3","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564503,true,2004-05-24 00:00:00.000,14.545,2.396,"B","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564504,true,2004-05-25 00:00:00.000,14.458,2.414,"A","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564505,true,2004-05-25 00:00:00.000,15.377,2.214,"B","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564506,true,2004-05-26 00:00:00.000,14.615,2.373,"1","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564507,true,2004-05-27 00:00:00.000,14.62,2.365,"3","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564508,true,2004-05-28 00:00:00.000,14.61,2.349,"A","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564509,true,2004-05-29 00:00:00.000,14.585,2.363,"2","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564510,true,2004-05-29 00:00:00.000,14.613,2.343,"A","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564511,true,2004-05-29 00:00:00.000,14.599,2.349,"B","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564512,true,2004-05-30 00:00:00.000,14.578,2.361,"2","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564513,true,2004-05-30 00:00:00.000,14.615,2.353,"3","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564514,true,2004-05-31 00:00:00.000,14.616,2.348,"2","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564515,true,2004-05-31 00:00:00.000,14.592,2.354,"3","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564516,true,2004-05-31 00:00:00.000,14.61,2.352,"A","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564517,true,2004-06-01 00:00:00.000,14.602,2.365,"A","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564518,true,2004-06-01 00:00:00.000,14.711,2.321,"B","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564519,true,2004-06-02 00:00:00.000,14.599,2.374,"A","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564520,true,2004-06-02 00:00:00.000,14.623,2.369,"A","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564521,true,2004-06-02 00:00:00.000,14.609,2.378,"B","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564522,true,2004-06-03 00:00:00.000,14.625,2.374,"2","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564523,true,2004-06-03 00:00:00.000,14.626,2.375,"B","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564524,true,2004-06-04 00:00:00.000,14.614,2.384,"3","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564525,true,2004-06-04 00:00:00.000,14.622,2.381,"A","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564526,true,2004-06-05 00:00:00.000,14.623,2.422,"B","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564527,true,2004-06-06 00:00:00.000,14.617,2.4,"B","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564528,true,2004-06-08 00:00:00.000,14.618,2.369,"1","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564529,true,2004-06-08 00:00:00.000,14.623,2.368,"2","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564530,true,2004-06-08 00:00:00.000,14.626,2.367,"A","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564531,true,2004-06-08 00:00:00.000,14.617,2.378,"B","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564532,true,2004-06-10 00:00:00.000,14.625,2.364,"3","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564533,true,2004-06-10 00:00:00.000,14.611,2.363,"A","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564534,true,2004-06-10 00:00:00.000,14.609,2.368,"B","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
27197564535,true,2004-06-11 00:00:00.000,14.616,2.367,"A","argos-doppler-shift",,"#2784020056","40480","Elephant Research - Nki National Park (Cameroon) - Collar 40480"
